Model / Code,Product Description,Price (?),HSN CODE
DAICHI BNC SILVER,DAICHI BNC SILVER,20,84733099
DAICHI BNC/DC,Daichi BNC PLATINUM (MIN QTY-25PC),30,84733099
DAICHI BNC/DC ,Daichi BNC GOLD,20,84733099
DAICHI BNC/DC ,Daichi BNC SILVER,20,84733099
DAICHI BNC/DC ,Daichi DC PLATINUM (MIN QTY 50),10,84733099
DAICHI BNC/DC ,Daichi DC SILVER,10,84733099
DAICHI BNC/DC ,Daichi YH31C 4G ROUTER,1640,84733099
DAICHI DC PLATINUM (MIN QTY 50),DAICHI DC PLATINUM (MIN QTY 50),10,84733099
DAICHI DC SILVER,DAICHI DC SILVER,10,84733099
DIB2HDAC,2MP HD BULLET COLOUR AUDIO,890,84733099
DIB34GC,3MP 4G SIM CAMERA,2370,84733099
DIB4ISC,4MP IP BULLET METAL BODY COLOUR,1700,84733099
DIB4ISCD,4MP IP BULLET DARK FIGHTER,1850,84733099
DIB4ISCP,4MP IP BULLET PLASTIC BODY COLOUR,1520,84733099
DIB4NTC,4MP IP BULLET GOLD COLOUR,2040,84733099
DIB5HDAC,5MP HD BULLET COLOUR + AUDIO,1190,84733099
DIB6IPC,6MP BULLET PLASTIC COLOUR,3080,84733099
DIB8NTC,8MP IP BULLET GOLD SERIES,3350,84733099
DID2HDAC,2MP HD DOME COLOUR AUDIO,850,84733099
DID4ISC,4MP IP DOME METAL BODY COLOUR,1580,84733099
DID4ISCD,4MP IP DOME DARK FIGHTER,1680,84733099
DID4ISCP,4MP IP DOME PLASTIC BODY COLOUR,1400,84733099
DID4NTC,4MP IP DOME GOLD COLOUR,1900,84733099
DID5HDAC,5MP HD DOME COLOUR + AUDIO,1120,84733099
DID6IPC,6MP DOME PLASTIC COLOUR,2940,84733099
DID8NTC,8MP IP DOME GOLD SERIES,3250,84733099
DIDVR16CP,16CH DVR DAICHI,6440,84733099
DIDVR4CP,4CH DVR DAICHI,3070,84733099
DIDVR8CP,8CH DVR DAICHI,3450,84733099
DINVR16CP,16CHANNEL NVR,3100,84733099
DINVR36C,32CHANNEL NVR,6880,84733099
DINVR8CP,8CH CHANNEL NVR,2800,84733099
DVR 5MP DIDVR16CP 16CH,Daichi ECO 70MTR 70 MTR ECO 3+1,700,84733099
DVR 5MP DIDVR4CP 4CH,Daichi DIDVR8CP 8CH DVR,3450,84733099
DVR 5MP DIDVR8CP 8CH,Daichi DIDVR16CP 16CH DVR,6440,84733099
ECO 70MTR,70 MTR ECO 3+1,700,84733099
EXTENSION BOARD ,Daichi 5 PORT NORMAL,520,84733099
"GEONIX 500GB 2.5""",Compact laptop internal hard drive,1630,84733099
GX-GT610 2GB D3,2 GB D3 GRAPHIC CARD,1490,84717020
GX-GT730 4GB D3,4 GB D3 GRAPHIC CARD,2820,84717020
GXTF-WVHDF171,"17"" LED",2130,84733099
GXTF-WVHDF-185,"18.5"" LED",2470,84733099
GXTF-WVHDF-195,"19.5"" LED",2540,84733099
GXTF-WVHDF-22,"22"" LED",3240,84733099
GXTF-WVHDF-24,"24"" IPS PANEL",6320,84733099
GXTF-WVHDF-32,"32"" LED CURVED BLACK",11780,84733099
GXUPSB127,UPS BATTERY 12V 7AH,750,84733099
GXWR4-5G,4G ROUTER 4 ANTENNA,1520,84733099
H110 DDR4 WITH NVME SLOT,H110 DDR4 WITH NVME SLOT,3730,84733099
H61 DDR3 WITH NVME SLOT,H61 DDR3 WITH NVME SLOT,1180,84733099
H81 DDR3 WITH NVME SLOT,H81 DDR3 WITH NVME SLOT,1890,84733099
HARD DISK 10TB,HARD DISK 10TB,34670,84717020
HARD DISK 1TB,HARD DISK 1TB,7530,84717020
HARD DISK 2TB,HARD DISK 2TB,8930,84717020
HARD DISK 4TB,HARD DISK 4TB,12540,84717020
HARD DISK 6TB,HARD DISK 6TB,18080,84717020
HARD DISK 8TB,HARD DISK 8TB,25530,84717020
HD CAMERA 2.4 MP DIB2HDAC HD 2MP,Daichi DID5HDAC 5MP HD DOME COLOUR + AUDIO,1120,84733099
HD CAMERA 2.4 MP DID2HDAC HD 2MP,Daichi DIB2HDAC 2MP HD BULLET COLOUR AUDIO,890,84733099
HD CAMERA 5MP DIB5HDAC HD 5MP,Daichi DIDVR4CP 4CH DVR,3070,84733099
HD CAMERA 5MP DID5HDAC HD 5MP,Daichi DIB5HDAC 5MP HD BULLET COLOUR + AUDIO,1190,84733099
HDD 10TB DESKTOP GEONIX,HDD 10TB DESKTOP GEONIX,12340,84717020
HDD 1TB DESKTOP GEONIX,HDD 1TB DESKTOP GEONIX,2770,84717020
HDD 2TB DESKTOP GEONIX,HDD 2TB DESKTOP GEONIX,4120,84717020
HDD 3TB DESKTOP GEONIX,HDD 3TB DESKTOP GEONIX,4140,84717020
HDD 4TB DESKTOP GEONIX,HDD 4TB DESKTOP GEONIX,6180,84717020
HDD 500 GB LAPTOP GEONIX,HDD 500 GB LAPTOP GEONIX,780,84717020
HDD 500GB DESKTOP GEONIX,HDD 500GB DESKTOP GEONIX,990,84717020
HDD 6TB DESKTOP GEONIX,HDD 6TB DESKTOP GEONIX,9250,84717020
HDD 8TB DESKTOP GEONIX,HDD 8TB DESKTOP GEONIX,11220,84717020
HDMI CABLE ,Daichi KYIRO 3MTR 4K HDMI CABLE (10+1 free),290,84733099
HDMI CABLE ,Daichi KYIRO 5MTR 4K HDMI CABLE (10+1 free),420,84733099
HDMI CABLE ,Daichi KYIRO 10MTR 4K HDMI CABLE (10+1 free),720,84733099
HDMI CABLE ,Daichi DID2HDAC 2MP HD DOME COLOUR AUDIO,850,84733099
HDMI EXTENDER ,Daichi HDMI EXTENDER 60MTR,1790,84733099
HDMI EXTENDER ,Daichi HDMI KVM EXTENDER 60MTR WITH USB,3420,84733099
HDMI EXTENDER ,Daichi KYIRO 1.5MTR 4K HDMI CABLE (10+1 free),220,84733099
HDMI EXTENDER 30MTR (10+1 FREE),HDMI EXTENDER 30MTR (10+1 FREE),370,84733099
HDMI EXTENDER 60MTR,HDMI EXTENDER 60MTR,1790,84733099
HDMI KVM EXTENDER 60MTR WITH USB,HDMI KVM EXTENDER 60MTR WITH USB,3420,84733099
i3 2ND PROCESSOR,i3 2ND PROCESSOR,400,84733099
i3 3RD PROCESSOR,i3 3RD PROCESSOR,590,84733099
i3 4TH PROCESSOR,i3 4TH PROCESSOR,420,84733099
i3 6TH PROCESSOR,i3 6TH PROCESSOR,1070,84733099
i3 7TH PROCESSOR,i3 7TH PROCESSOR,1370,84733099
i3 8TH PROCESSOR,i3 8TH PROCESSOR,2020,84733099
i3 9TH PROCESSOR,i3 9TH PROCESSOR,3580,84733099
i5 2ND PROCESSOR,i5 2ND PROCESSOR,1030,84733099
i5 3RD PROCESSOR,i5 3RD PROCESSOR,1470,84733099
i5 4TH PROCESSOR,i5 4TH PROCESSOR,1690,84733099
i5 6TH PROCESSOR,i5 6TH PROCESSOR,3300,84733099
i5 7TH PROCESSOR,i5 7TH PROCESSOR,4020,84733099
i5 8TH PROCESSOR,i5 8TH PROCESSOR,5500,84733099
i5 9TH PROCESSOR,i5 9TH PROCESSOR,6870,84733099
i7 3RD PROCESSOR,i7 3RD PROCESSOR,2800,84733099
i7 4TH PROCESSOR,i7 4TH PROCESSOR,3090,84733099
i7 6TH PROCESSOR,i7 6TH PROCESSOR,6870,84733099
i7 7TH PROCESSOR,i7 7TH PROCESSOR,8020,84733099
i7 8TH PROCESSOR,i7 8TH PROCESSOR,11870,84733099
IP 4MP GOLD SERIES DIB4NTC IP 4MP,Daichi DID6IPC 6MP DOME PLASTIC COLOUR,2940,84733099
IP 4MP GOLD SERIES DID4NTC IP 4MP,Daichi DIB4NTC 4MP IP BULLET GOLD COLOUR,2040,84733099
IP 4MP SILVER SERIES DIB4ISC IP 4MP,Daichi DID4NTC 4MP IP DOME GOLD COLOUR,1900,84733099
IP 4MP SILVER SERIES DIB4ISCD IP 4MP,Daichi DID4ISC 4MP IP DOME METAL BODY COLOUR,1580,84733099
IP 4MP SILVER SERIES DIB4ISCP IP 4MP,Daichi DID4ISCD 4MP IP DOME DARK FIGHTER,1680,84733099
IP 4MP SILVER SERIES DID4ISC IP 4MP,Daichi DIB4ISC 4MP IP BULLET METAL BODY COLOUR,1700,84733099
IP 4MP SILVER SERIES DID4ISCD IP 4MP,Daichi DIB4ISCD 4MP IP BULLET DARK FIGHTER,1850,84733099
IP 4MP SILVER SERIES DID4ISCP IP 4MP,Daichi DIB4ISCP 4MP IP BULLET PLASTIC BODY COLOUR,1520,84733099
IP 6MP GOLD SERIES DIB6IPC IP 6MP,Daichi DID8NTC 8MP IP DOME GOLD SERIES,3250,84733099
IP 6MP GOLD SERIES DID6IPC IP 6MP,Daichi DIB6IPC 6MP BULLET PLASTIC COLOUR,3080,84733099
IP 8MP GOLD SERIES DIB8NTC IP 8MP,Daichi DINVR8CP 8CH CHANNEL NVR,2800,84733099
IP 8MP GOLD SERIES DID8NTC IP 8MP,Daichi DIB8NTC 8MP IP BULLET GOLD SERIES,3350,84733099
KYIRO 1.5MTR 4K HDMI CABLE (10+1 free),KYIRO 1.5MTR 4K HDMI CABLE (10+1 free),220,84733099
KYIRO 10MTR 4K HDMI CABLE (10+1 free),KYIRO 10MTR 4K HDMI CABLE (10+1 free),720,84733099
KYIRO 3MTR 4K HDMI CABLE (10+1 free),KYIRO 3MTR 4K HDMI CABLE (10+1 free),290,84733099
KYIRO 5MTR 4K HDMI CABLE (10+1 free),KYIRO 5MTR 4K HDMI CABLE (10+1 free),420,84733099
KYIRO EXTENSION BOARD,KYIRO EXTENSION BOARD,450,84733099
NVR DINVR16CP,Daichi DINVR36C 32CHANNEL NVR,6880,84733099
NVR DINVR36C,Daichi CAT6 100MTR INDOOR ECO,1090,84733099
NVR DINVR8CP,Daichi DINVR16CP 16CHANNEL NVR,3100,84733099
POE SWITCH ,Daichi 4CH POE GIGA,2220,84733099
POE SWITCH ,Daichi 8+2 POE NORMAL,1400,84733099
POE SWITCH ,Daichi 8+2 POE FULL GIGA POE,2720,84733099
POE SWITCH ,Daichi 2U RACK,540,84733099
RACK ,Daichi 4U RACK,1070,84733099
RACK ,Daichi 6U RACK,1520,84733099
RJ45 CONNECTOR (100PC BOX),RJ45 CONNECTOR (100PC BOX),190,84733099
RJ45 CONNECTOR FOR STP CABLE (100PC BOX),RJ45 CONNECTOR FOR STP CABLE (100PC BOX),320,84733099
ROUTER YH31C,Daichi 64GB,600,84717020
SD CARD ,Daichi 128GB,1040,84717020
SD CARD ,Daichi DIB34GC 3MP 4G SIM CAMERA,2370,84733099
SEAGATE HARD DISK 10TB,High capacity surveillance storage drive,34670,84733099
SEAGATE HARD DISK 1TB,Reliable desktop computer storage drive,7530,84733099
SEAGATE HARD DISK 2TB,Reliable desktop computer storage drive,8930,84733099
SEAGATE HARD DISK 4TB,Reliable desktop computer storage drive,12540,84733099
SEAGATE HARD DISK 6TB,High capacity surveillance storage drive,18080,84733099
SEAGATE HARD DISK 8TB,High capacity surveillance storage drive,25530,84733099
SMPS ,Daichi 8 CHANNEL POWER SUPPLY,400,84733099
SMPS ,Daichi DID4ISCP 4MP IP DOME PLASTIC BODY COLOUR,1400,84733099
SWITCH ,Daichi 8 PORT NORMAL SWITCH,630,84733099
SWITCH ,Daichi 5 PORT GIGA SWITCH,800,84733099
SWITCH ,Daichi 8 PORT GIGA SWITCH,1270,84733099
SWITCH ,Daichi RJ45 CONNECTOR (100PC BOX),190,84733099
UPS (2year warranty with battery onside),UPS (2year warranty with battery onside),2030,84733099
USB 2.0 16GB,USB 2.0 16GB,230,84717020
WD 4 TB,Reliable desktop computer storage drive,12400,84733099
WD 6 TB,High capacity surveillance storage drive,18080,84733099
WIFI DONGLE,WIFI DONGLE,170,84733099
WIFI DONGLE PRONTO P1 150,WIFI DONGLE PRONTO P1 150,270,84733099
WIFI DONGLE PRONTO P2 300,WIFI DONGLE PRONTO P2 300,340,84733099
WIRED KEYBOARD,WIRED KEYBOARD,200,84716040
WIRED RGB MOUSE,WIRED RGB MOUSE,140,84716040
YH31C,DAICHI 4G ROUTER,1640,84733099
